"Page","Pageviews","Unique Pageviews","Avg. Time on Page","Entrances","Bounce Rate","% Exit"
"/wordpress/archives/1423",28,27,"00:00:59",27,"88.89%","85.71%"
"/wordpress/archives/151",8,6,"00:00:06",5,"100.00%","62.50%"
"/wordpress/archives/159/",12,12,"00:00:02",11,"0.00%","0.00%"
"/wordpress/archives/1592",23,23,"00:01:48",23,"95.65%","95.65%"
"/wordpress/archives/1595",9,7,"00:03:18",7,"85.71%","77.78%"
"/wordpress/archives/1614",20,15,"00:00:38",14,"78.57%","65.00%"
"/wordpress/archives/1626",14,13,"00:02:59",12,"75.00%","71.43%"
"/wordpress/archives/1632",9,9,"00:00:00",8,"100.00%","100.00%"
"/wordpress/archives/1702",30,21,"00:03:10",20,"75.00%","63.33%"
"/wordpress/archives/1724",29,28,"00:04:38",26,"92.31%","89.66%"
"/wordpress/archives/1724/",9,9,"00:00:01",9,"0.00%","0.00%"
"/wordpress/archives/1736",52,46,"00:05:20",45,"82.22%","76.92%"
"/wordpress/archives/1736/",15,15,"00:00:02",15,"0.00%","0.00%"
"/wordpress/archives/1810",8,4,"00:04:37",4,"25.00%","37.50%"
"/wordpress/archives/1895",9,9,"00:02:16",6,"83.33%","88.89%"
"/wordpress/archives/2024",10,8,"00:03:44",6,"50.00%","50.00%"
"/wordpress/archives/2040",8,5,"00:00:45",3,"33.33%","37.50%"
"/wordpress/archives/211",277,206,"00:02:11",175,"53.14%","49.46%"
"/wordpress/archives/2128",14,14,"00:01:20",14,"85.71%","85.71%"
"/wordpress/archives/2133",142,131,"00:04:53",131,"86.26%","85.21%"
"/wordpress/archives/2140",16,14,"00:04:26",14,"78.57%","81.25%"
"/wordpress/archives/2263",9,7,"00:00:08",6,"66.67%","66.67%"
"/wordpress/archives/2340",10,6,"00:04:10",6,"33.33%","60.00%"
"/wordpress/archives/2379",12,10,"00:05:01",0,"0.00%","41.67%"
"/wordpress/archives/2443",28,25,"00:01:53",14,"71.43%","50.00%"
"/wordpress/archives/2529",21,16,"00:03:27",10,"30.00%","38.10%"
"/wordpress/archives/2559",14,11,"00:05:03",11,"72.73%","78.57%"
"/wordpress/archives/2559/",9,6,"00:00:02",6,"0.00%","0.00%"
"/wordpress/archives/2694",30,28,"00:03:01",28,"89.29%","86.67%"
"/wordpress/archives/2745",24,22,"00:01:00",20,"85.00%","83.33%"
"/wordpress/archives/286",14,12,"00:02:54",12,"75.00%","78.57%"
"/wordpress/archives/2878",55,47,"00:03:11",38,"68.42%","67.27%"
"/wordpress/archives/2944",11,9,"00:02:18",8,"75.00%","81.82%"
"/wordpress/archives/2972",12,10,"00:03:44",5,"60.00%","58.33%"
"/wordpress/archives/3001",9,8,"00:02:03",7,"100.00%","88.89%"
"/wordpress/archives/3019",24,22,"00:07:44",19,"94.74%","83.33%"
"/wordpress/archives/3049",54,47,"00:01:11",42,"61.90%","64.81%"
"/wordpress/archives/3049/",13,12,"00:00:02",11,"0.00%","0.00%"
"/wordpress/archives/3076",62,57,"00:02:21",46,"82.61%","74.19%"
"/wordpress/archives/3094",8,6,"00:00:37",4,"75.00%","50.00%"
"/wordpress/archives/3116",124,112,"00:04:57",111,"90.99%","90.32%"
"/wordpress/archives/3116/",35,35,"00:00:03",34,"0.00%","0.00%"
"/wordpress/archives/3124",10,10,"00:03:06",2,"100.00%","50.00%"
"/wordpress/archives/3161","1,181","1,022","00:05:17","1,017","87.12%","85.69%"
"/wordpress/archives/3161/",359,335,"00:00:02",334,"0.00%","0.00%"
"/wordpress/archives/3176",17,14,"00:01:40",10,"90.00%","76.47%"
"/wordpress/archives/3252",12,8,"00:02:04",8,"50.00%","66.67%"
"/wordpress/archives/3274",180,168,"00:06:57",161,"91.93%","90.00%"
"/wordpress/archives/3274/",22,21,"00:00:02",21,"0.00%","0.00%"
"/wordpress/archives/3292",9,4,"00:00:50",1,"0.00%","22.22%"
"/wordpress/archives/3296",16,12,"00:00:51",8,"50.00%","50.00%"
"/wordpress/archives/3302",73,65,"00:02:57",60,"83.33%","80.82%"
"/wordpress/archives/3302/",17,16,"00:00:01",14,"0.00%","0.00%"
"/wordpress/archives/3336",8,7,"00:04:41",7,"57.14%","62.50%"
"/wordpress/archives/3393",16,13,"00:00:20",11,"72.73%","68.75%"
"/wordpress/archives/3524",36,35,"00:01:21",26,"88.46%","77.78%"
"/wordpress/archives/356",13,8,"00:02:36",6,"50.00%","38.46%"
"/wordpress/archives/3565",13,7,"00:01:56",1,"0.00%","15.38%"
"/wordpress/archives/3610",80,76,"00:01:53",64,"79.69%","70.00%"
"/wordpress/archives/3610/",8,8,"00:00:01",7,"0.00%","0.00%"
"/wordpress/archives/3628",39,26,"00:03:19",20,"90.00%","56.41%"
"/wordpress/archives/3628/",17,17,"00:00:01",17,"82.35%","82.35%"
"/wordpress/archives/3641",33,30,"00:04:05",24,"87.50%","72.73%"
"/wordpress/archives/3641/",11,11,"00:00:00",11,"100.00%","100.00%"
"/wordpress/archives/3670",44,31,"00:03:37",25,"60.00%","50.00%"
"/wordpress/archives/375",15,14,"00:01:22",12,"83.33%","80.00%"
"/wordpress/archives/3765",13,12,"00:12:37",11,"90.91%","76.92%"
"/wordpress/archives/3785",49,33,"00:02:21",33,"72.73%","65.31%"
"/wordpress/archives/3785/",10,10,"00:00:02",10,"0.00%","0.00%"
"/wordpress/archives/3804",70,69,"00:01:19",67,"94.03%","91.43%"
"/wordpress/archives/3832",65,64,"00:05:46",60,"95.00%","89.23%"
"/wordpress/archives/3832/",22,22,"00:00:02",22,"0.00%","0.00%"
"/wordpress/archives/3860",44,42,"00:08:19",42,"95.24%","95.45%"
"/wordpress/archives/3860/",30,30,"00:00:02",30,"0.00%","0.00%"
"/wordpress/archives/3885",22,19,"00:02:29",17,"82.35%","68.18%"
"/wordpress/archives/3916",15,13,"00:02:24",6,"83.33%","60.00%"
"/wordpress/archives/3974",162,132,"00:04:06",111,"66.67%","62.96%"
"/wordpress/archives/3984",36,26,"00:01:44",23,"69.57%","69.44%"
"/wordpress/archives/3988",86,69,"00:04:15",48,"66.67%","60.47%"
"/wordpress/archives/4259",382,361,"00:02:39",350,"93.43%","91.10%"
"/wordpress/archives/4276",18,16,"00:02:23",13,"84.62%","72.22%"
"/wordpress/archives/4311",8,6,"00:01:03",0,"0.00%","0.00%"
"/wordpress/archives/4324",12,8,"00:00:24",2,"100.00%","16.67%"
"/wordpress/archives/4325",229,177,"00:03:08",132,"65.91%","52.84%"
"/wordpress/archives/4334",8,5,"00:00:25",3,"33.33%","25.00%"
"/wordpress/archives/4345",14,13,"00:01:53",5,"80.00%","64.29%"
"/wordpress/archives/4352",297,249,"00:02:52",220,"62.27%","59.26%"
"/wordpress/archives/4352/",46,42,"00:00:02",38,"5.26%","4.35%"
"/wordpress/archives/4371",9,8,"00:02:13",4,"50.00%","55.56%"
"/wordpress/archives/4382",114,83,"00:02:51",58,"72.41%","56.14%"
"/wordpress/archives/4382/",12,12,"00:01:33",7,"0.00%","0.00%"
"/wordpress/archives/4390",29,26,"00:06:23",25,"88.00%","82.76%"
"/wordpress/archives/4392",14,14,"00:00:40",10,"100.00%","92.86%"
"/wordpress/archives/4412",23,15,"00:01:04",4,"50.00%","47.83%"
"/wordpress/archives/4412/",38,3,"00:00:08",0,"0.00%","0.00%"
"/wordpress/archives/4418",29,19,"00:01:12",13,"61.54%","48.28%"
"/wordpress/archives/4418/",16,7,"00:00:03",6,"0.00%","0.00%"
"/wordpress/archives/4419",431,345,"00:04:07",297,"74.41%","63.81%"
"/wordpress/archives/4419/",29,29,"00:00:01",26,"0.00%","0.00%"
"/wordpress/archives/4451",16,14,"00:01:55",4,"75.00%","43.75%"
"/wordpress/archives/4478",13,11,"00:00:29",3,"66.67%","38.46%"
"/wordpress/archives/4482",44,33,"00:01:02",17,"41.18%","25.00%"
"/wordpress/archives/5",8,7,"00:00:42",6,"50.00%","62.50%"
"/wordpress/archives/502",17,11,"00:02:41",11,"63.64%","64.71%"
"/wordpress/archives/570",24,22,"00:03:05",11,"63.64%","58.33%"
"/wordpress/archives/675",33,16,"00:00:53",12,"16.67%","18.18%"
"/wordpress/archives/706",12,11,"00:00:48",0,"0.00%","8.33%"
"/wordpress/archives/803",8,8,"00:00:00",8,"100.00%","100.00%"
"/wordpress/archives/808",13,10,"00:03:12",7,"71.43%","53.85%"
"/wordpress/archives/877",13,10,"00:01:17",4,"50.00%","53.85%"
"/wordpress/archives/894",35,29,"00:01:09",28,"64.29%","60.00%"
"/wordpress/archives/author/rwordpress",13,11,"00:00:29",6,"33.33%","46.15%"
"/wordpress/archives/category/ons-thoughts",38,26,"00:00:55",8,"25.00%","10.53%"
"/wordpress/archives/category/other-notes/computation",11,6,"00:00:29",4,"50.00%","27.27%"
"/wordpress/archives/category/phylogenetics",23,21,"00:00:55",1,"0.00%","26.09%"
"/wordpress/archives/category/stochastic-population-dynamics",23,21,"00:01:09",3,"66.67%","34.78%"
"/wordpress/archives/category/stochastic-population-dynamics/page/4",9,7,"00:01:48",6,"83.33%","66.67%"
"/wordpress/archives/date/2012/05",8,6,"00:00:18",0,"0.00%","0.00%"
"/wordpress/archives/tag/conference/page/2",9,8,"00:00:15",5,"60.00%","55.56%"
"/wordpress/archives/tag/r",13,6,"00:00:25",0,"0.00%","15.38%"
"/wordpress/archives/tag/warning-signals",12,10,"00:00:31",5,"40.00%","16.67%"
"/wordpress/home/publications",29,24,"00:02:19",18,"44.44%","55.17%"
"/wordpress/research",106,88,"00:01:29",10,"10.00%","26.42%"
"/wordpress/research/lab-notebook",16,8,"00:01:57",5,"0.00%","18.75%"
"/wordpress/research/lab-notebook/page/2",15,10,"00:02:11",3,"0.00%","13.33%"
"/wordpress/software",85,29,"00:01:41",28,"32.14%","24.71%"
"/wordpress/software/ropensci",25,17,"00:03:14",16,"37.50%","48.00%"
"/wp-admin/",106,93,"00:01:57",22,"18.18%","5.66%"
"/wp-admin/admin.php?page=stats",143,121,"00:04:00",36,"50.00%","33.57%"
"/wp-admin/admin.php?page=stats&view=postviews&summarize=&numdays=7",8,8,"00:02:43",0,"0.00%","25.00%"
"/wp-admin/edit-comments.php",8,7,"00:00:38",1,"0.00%","0.00%"
"/wp-admin/edit.php",91,58,"00:01:52",6,"0.00%","12.09%"
"/wp-admin/edit.php?post_status=draft&post_type=post",25,8,"00:02:00",1,"100.00%","8.00%"
"/wp-admin/edit.php?post_type=page",18,18,"00:00:22",2,"0.00%","5.56%"
"/wp-admin/index.php",58,49,"00:04:07",10,"60.00%","31.03%"
"/wp-admin/plugin-install.php",9,6,"00:03:17",0,"0.00%","0.00%"
"/wp-admin/plugins.php",14,10,"00:01:40",1,"0.00%","0.00%"
"/wp-admin/post-new.php",100,84,"00:06:09",15,"53.33%","33.00%"
"/wp-admin/post.php?post=4352&action=edit&message=1",8,3,"00:00:11",0,"0.00%","0.00%"
"/wp-admin/post.php?post=4451&action=edit&message=10",8,6,"00:01:20",0,"0.00%","37.50%"
"/wp-admin/post.php?post=8&action=edit",13,11,"00:06:32",0,"0.00%","15.38%"
"/wp-admin/post.php?post=8&action=edit&message=1",11,7,"00:05:07",0,"0.00%","0.00%"
"/wp-admin/themes.php",9,6,"00:00:22",0,"0.00%","0.00%"
"/wp-admin/update-core.php",57,46,"00:01:13",8,"12.50%","8.77%"
"/wp-admin/update-core.php?action=do-plugin-upgrade",36,36,"00:00:12",1,"0.00%","0.00%"
"/wp-admin/upload.php",20,12,"00:04:02",4,"25.00%","20.00%"
"/wp-content/uploads/2012/03/",13,2,"00:00:33",0,"0.00%","0.00%"
"/wp-login.php?redirect_to=http://www.carlboettiger.info/wp-admin/&reauth=1",50,47,"00:01:40",13,"7.69%","6.00%"
,"41,083","32,386","00:01:40","17,960","62.03%","43.72%"
